,Human,Social,Manufactured,Financial,Arable.suit,Igrass.suit,SNGrass.suit,Bioenergy.suit,AgroForestry.suit,NNConifer.suit,NConifer.suit,NNBroadleaf.suit,NBroadleaf.suit,Tree.suit,Production
Food.crops ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fodder.crops ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF.redMeat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuel ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Softwood,0.2,0,1,1,0,0,0,0,0,1,0,0,0,0,1
Hardwood,0.4,0.2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
Biodiversity,0.4,0.2,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0.3
Carbon,0.4,0.2,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0.8
Recreation,0.4,0.2,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0.4
Flood.reg,0.4,0.2,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0.5
Employment,0.4,0.2,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0.8
Ldiversity,0.4,0.2,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0.3
GF.milk,0.4,0.2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
