Year,Food.crops,Fodder.crops,GF.redMeat,Fuel,Softwood,Hardwood,Biodiversity,Carbon,Recreation,Flood.reg,Employment,Ldiversity,GF.milk
2020,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
7610.754,7610.754,4893.897,7233.887,284.135,424.737,1074.832,7596.932,7724.278,6888.52,4776.289,15994.747,5802.092,6281.543
